page_id,page_name,distinct_ads_surfaced,keywords,collation_total,p_heavy,p_buyer,decision
108268605296897,TikTok - US,2,skincare,0,0.270,0.370,skip_not_buyer
101039196037152,TikTok - EU,1,skincare,0,0.070,0.490,skip_unlikely
1806087489455976,Dot & Key,1,"serum, skincare",1,0.010,0.950,skip_unlikely
2003695169857895,Beauty From Bees,8,"anti-aging, moisturizer, retinol, serum, skincare",8,0.040,0.950,count
42420028113,IT Cosmetics,2,skincare,4,0.100,0.660,skip_unlikely
342731281284,all Laundry,1,skincare,1,0.080,0.670,skip_unlikely
750587898419590,HIKOCO,1,skincare,0,0.010,0.900,skip_unlikely
140620315959593,CeraVe Skincare,9,"anti-aging, cleanser, serum, skincare",21,0.260,0.830,count
382489881621037,Quia Korean Beauty,2,"retinol, skincare",2,0.120,0.860,skip_unlikely
112727500143177,Whatnot,4,"retinol, serum, skincare",1,0.170,0.600,count
177838682849328,SYD,1,skincare,2,0.020,0.550,skip_unlikely
104229891456069,Qure Skincare,2,"acne, anti-aging, moisturizer, serum, skincare",1,0.010,0.930,skip_unlikely
114551658280160,Sheryl Davis,1,skincare,1,0.060,0.910,skip_unlikely
994234910441322,OLIVE YOUNG US,2,"cleanser, serum, skincare",0,0.070,0.880,skip_unlikely
22437985072,Alibaba.com,1,skincare,0,0.020,0.720,skip_unlikely
108998290937265,Dabur Meswak,1,skincare,1,0.110,0.880,skip_unlikely
127483917278156,Eau Thermale Avène,6,"cleanser, skincare",0,0.360,0.950,count
286863750778,Olay,12,"retinol, skincare",8,0.010,0.890,count
341065345905180,Noy Skincare,1,skincare,1,0.010,0.860,skip_unlikely
161067203973094,Bilxco,5,"acne, moisturizer, skincare",4,0.030,0.790,count
121135054419977,Korean Skincare Reviews,1,skincare,4,0.010,0.900,skip_unlikely
105818505893759,Ballboyz Soap,1,skincare,3,0.060,0.750,skip_unlikely
1408472835865145,KISQALI (ribociclib),1,serum,2,0.100,0.570,skip_unlikely
95811339310,REVOLVE,3,serum,0,0.130,0.840,count
102912501710924,Rosa Selvagem OFC,1,serum,1,0.210,0.900,count
382082355205211,Dove,4,serum,4,0.220,0.840,count
112073498622361,Meditherapy.Global,2,serum,0,0.050,0.860,skip_unlikely
27355912949,Gillette Venus,1,"cleanser, serum",1,0.060,0.940,skip_unlikely
202470527313669,L'Oréal Paris,5,"moisturizer, serum",7,0.240,0.930,count
207391868502,SkinCeuticals,2,serum,11,0.220,0.960,count
374164243413605,Chāmpo Haircare,1,serum,1,0.090,0.950,skip_unlikely
238229986273832,La Prairie,1,serum,1,0.070,0.960,skip_unlikely
119133458143386,Dr. Barbara Sturm,1,"anti-aging, serum",1,0.070,0.950,skip_unlikely
102507806502481,Wild Growth Hair Care,3,moisturizer,3,0.020,0.870,count
361472001371043,Base,2,"moisturizer, sunscreen",0,0.060,0.550,skip_unlikely
110307637994704,Dr. Muneeb Shah,1,"acne, moisturizer, sunscreen",1,0.080,0.590,skip_unlikely
138439552622,StriVectin,1,moisturizer,1,0.240,0.950,count
101100400538,Bobbi Brown Cosmetics,3,moisturizer,12,0.160,0.970,count
662331720305715,Bare Ritual,1,moisturizer,1,0.000,0.930,skip_unlikely
112829642096923,Dr Laura,1,moisturizer,0,0.010,0.880,skip_unlikely
